K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia
2,0.7889250352415544,0.3315635239423863,30115.68173598746,38448.266710145006
3,0.779380923411083,0.2830608729144627,38919.220133260926,16377.065830120215
4,0.7247077872872891,0.4613863085729234,51835.10443187215,8466.017641257557
5,0.7045018425498364,0.5017148860059738,51511.98691875834,6440.3525788340485
6,0.6388363559307677,0.5665600294747981,53954.83053468947,4947.543787830734
7,0.6421618586665276,0.547631196823413,56164.85202999154,3975.326880195705
8,0.6360086709250513,0.5592978226936256,53578.80324889714,3576.60507997429
9,0.599358845118478,0.6280887348106865,56830.221668023,2957.768861631396
10,0.5519412971085688,0.6606556275562391,57325.589943371655,2609.3068238087617
